App,Category,Rating,Reviews,Size,Installs,Type,Price,Content_Rating,Genres,Last_Updated,Current_Ver,Android_Ver
BEST_CAR_SOUNDS,AUTO_AND_VEHICLES,4.3,348,38M,100000,Free,0,Everyone,Auto_&_Vehicles,July_29_2018,1.0.3,2.3_and_up
RST_-_Sale_of_cars_on_the_PCT,AUTO_AND_VEHICLES,3.2,250,1.1M,100000,Free,0,Everyone,Auto_&_Vehicles,April_27_2018,1.4,4.0.3_and_up
AutoScout24_Switzerland_–_Find_your_new_car,AUTO_AND_VEHICLES,4.6,13372,Varies_with_device,1000000,Free,0,Everyone,Auto_&_Vehicles,August_3_2018,Varies_with_device,Varies_with_device
Zona_Azul_Digital_Fácil_SP_CET_-_OFFICIAL_São_Paulo,AUTO_AND_VEHICLES,4.6,7880,Varies_with_device,100000,Free,0,Everyone,Auto_&_Vehicles,May_10_2018,4.6.5,Varies_with_device
SMS_Park,AUTO_AND_VEHICLES,4.5,3617,7.9M,100000,Free,0,Everyone,Auto_&_Vehicles,May_16_2018,2.8.2,4.1_and_up
SKencar,AUTO_AND_VEHICLES,3.7,4806,35M,1000000,Free,0,Everyone,Auto_&_Vehicles,July_31_2018,4.0.3,4.0.3_and_up
Fuelio:_Gas_log_&_costs,AUTO_AND_VEHICLES,4.6,65786,Varies_with_device,1000000,Free,0,Everyone,Auto_&_Vehicles,August_2_2018,Varies_with_device,4.0.3_and_up
auto_fines,AUTO_AND_VEHICLES,4.6,31433,17M,1000000,Free,0,Everyone,Auto_&_Vehicles,August_2_2018,1.40,4.0.3_and_up
Used_car_is_the_first_car_-_used_car_purchase__used_car_quotation__dealer_information_to,AUTO_AND_VEHICLES,4.6,5097,19M,1000000,Free,0,Everyone,Auto_&_Vehicles,July_23_2018,1.5.18,4.0.3_and_up
All_of_the_parking_lot_-_National_Park_application_(parking_lot_search_/_parking_sharing_/_discount_payment),AUTO_AND_VEHICLES,4.0,1754,14M,500000,Free,0,Everyone,Auto_&_Vehicles,June_2_2018,2.3.4,4.0_and_up
Inquiry_Fines_and_Debits_of_Vehicles,AUTO_AND_VEHICLES,4.4,2680,2.2M,500000,Free,0,Everyone,Auto_&_Vehicles,March_20_2018,1.03,4.0.3_and_up
Gas_Station,AUTO_AND_VEHICLES,4.0,1288,4.5M,100000,Free,0,Everyone,Auto_&_Vehicles,April_21_2018,2.17,4.0_and_up
Hush_-_Beauty_for_Everyone,BEAUTY,4.7,18900,17M,500000,Free,0,Everyone,Beauty,August_2_2018,6.10.1,5.0_and_up
ipsy:_Makeup__Beauty__and_Tips,BEAUTY,4.9,49790,14M,1000000,Free,$12,Everyone,Beauty,November_9_2017,2.3.0,4.1_and_up
